,Location,Accident_Type,Accident_Count,Year_Column,Date,Accident_Category
3081,Inside built-up areas,Other accidents involving material damage,135092,2014,2014-10-01,Other Material Damage
3082,Outside built-up areas (excl. motorways/freeways),Other accidents involving intoxication,154,2014,2014-05-01,Intoxication
3083,On motorways/freeways,Serious acc. invol. mat.damage in the nearer sense,732,2023,2023-09-01,Material Damage
3084,On motorways/freeways,Total,13287,2011,2011-09-01,Total
3085,Outside built-up areas (excl. motorways/freeways),Other accidents involving material damage,39972,2016,2016-11-01,Other Material Damage
3086,On motorways/freeways,Other accidents involving intoxication,66,2022,2022-02-01,Intoxication
3087,Outside built-up areas (excl. motorways/freeways),Personal injury accidents,3976,2023,2023-02-01,Personal Injury
3088,On motorways/freeways,Other accidents involving material damage,13909,2019,2019-10-01,Other Material Damage
3089,On motorways/freeways,Serious acc. invol. mat.damage in the nearer sense,617,2020,2020-05-01,Material Damage
3090,Total,Serious acc. invol. mat.damage in the nearer sense,5170,2015,2015-08-01,Material Damage
3091,Total,Other accidents involving material damage,193023,2015,2015-10-01,Other Material Damage
3092,Total,Other accidents involving material damage,165080,2020,2020-07-01,Other Material Damage
3093,On motorways/freeways,Personal injury accidents,1790,2013,2013-07-01,Personal Injury
3094,Inside built-up areas,Other accidents involving intoxication,874,2019,2019-02-01,Intoxication
3095,Outside built-up areas (excl. motorways/freeways),Other accidents involving material damage,31650,2022,2022-06-01,Other Material Damage
3096,Total,Total,184676,2014,2014-01-01,Total
3097,Inside built-up areas,Total,168101,2018,2018-04-01,Total
3098,On motorways/freeways,Total,13889,2022,2022-10-01,Total
3099,Inside built-up areas,Other accidents involving material damage,117030,2014,2014-08-01,Other Material Damage
3100,Inside built-up areas,Other accidents involving material damage,86916,2020,2020-04-01,Other Material Damage
3101,Inside built-up areas,Personal injury accidents,21232,2017,2017-05-01,Personal Injury
3102,Total,Other accidents involving intoxication,1317,2012,2012-07-01,Intoxication
3103,Outside built-up areas (excl. motorways/freeways),Total,43693,2019,2019-01-01,Total
3104,Outside built-up areas (excl. motorways/freeways),Other accidents involving material damage,33872,2021,2021-09-01,Other Material Damage
3105,On motorways/freeways,Total,13424,2011,2011-08-01,Total
3106,Inside built-up areas,Serious acc. invol. mat.damage in the nearer sense,3639,2018,2018-03-01,Material Damage
3107,Outside built-up areas (excl. motorways/freeways),Other accidents involving intoxication,218,2016,2016-12-01,Intoxication
3108,On motorways/freeways,Personal injury accidents,1744,2017,2017-11-01,Personal Injury
3109,Outside built-up areas (excl. motorways/freeways),Personal injury accidents,6925,2023,2023-07-01,Personal Injury
3110,On motorways/freeways,Personal injury accidents,2088,2016,2016-06-01,Personal Injury
3111,Inside built-up areas,Total,153005,2021,2021-11-01,Total
3112,Inside built-up areas,Other accidents involving material damage,136601,2024,2024-06-01,Other Material Damage
3113,Inside built-up areas,Other accidents involving material damage,126826,2014,2014-09-01,Other Material Damage
3114,Inside built-up areas,Other accidents involving intoxication,918,2020,2020-05-01,Intoxication
3115,Inside built-up areas,Serious acc. invol. mat.damage in the nearer sense,2949,2024,2024-05-01,Material Damage
3116,On motorways/freeways,Other accidents involving intoxication,68,2020,2020-09-01,Intoxication
3117,Outside built-up areas (excl. motorways/freeways),Other accidents involving intoxication,140,2013,2013-08-01,Intoxication
3118,Inside built-up areas,Other accidents involving intoxication,1173,2017,2017-08-01,Intoxication
3119,Total,Other accidents involving material damage,184679,2022,2022-11-01,Other Material Damage
3120,Outside built-up areas (excl. motorways/freeways),Total,33564,2024,2024-02-01,Total
3121,Total,Other accidents involving intoxication,1316,2013,2013-12-01,Intoxication
3122,Inside built-up areas,Other accidents involving intoxication,667,2021,2021-02-01,Intoxication
3123,Outside built-up areas (excl. motorways/freeways),Total,43622,2014,2014-10-01,Total
3124,Outside built-up areas (excl. motorways/freeways),Serious acc. invol. mat.damage in the nearer sense,1671,2020,2020-02-01,Material Damage
3125,On motorways/freeways,Other accidents involving intoxication,62,2021,2021-06-01,Intoxication
3126,Total,Other accidents involving material damage,160229,2011,2011-04-01,Other Material Damage
3127,Outside built-up areas (excl. motorways/freeways),Personal injury accidents,5229,2013,2013-04-01,Personal Injury
3128,Total,Other accidents involving intoxication,1351,2011,2011-05-01,Intoxication
3129,Inside built-up areas,Serious acc. invol. mat.damage in the nearer sense,3370,2020,2020-10-01,Material Damage
3130,Total,Serious acc. invol. mat.damage in the nearer sense,5651,2013,2013-07-01,Material Damage
3131,Total,Other accidents involving material damage,192800,2018,2018-05-01,Other Material Damage
3132,On motorways/freeways,Other accidents involving intoxication,51,2013,2013-12-01,Intoxication
3133,Inside built-up areas,Serious acc. invol. mat.damage in the nearer sense,3380,2014,2014-02-01,Material Damage
3134,On motorways/freeways,Other accidents involving material damage,9410,2021,2021-12-01,Other Material Damage
3135,Inside built-up areas,Personal injury accidents,11296,2013,2013-01-01,Personal Injury
3136,Total,Other accidents involving intoxication,1493,2012,2012-12-01,Intoxication
3137,Inside built-up areas,Other accidents involving intoxication,1175,2018,2018-05-01,Intoxication
3138,Outside built-up areas (excl. motorways/freeways),Total,36824,2019,2019-02-01,Total
3139,Total,Personal injury accidents,26349,2015,2015-11-01,Personal Injury
3140,Outside built-up areas (excl. motorways/freeways),Other accidents involving material damage,34997,2016,2016-12-01,Other Material Damage
3141,Inside built-up areas,Personal injury accidents,18216,2023,2023-10-01,Personal Injury
3142,Total,Other accidents involving material damage,156741,2011,2011-03-01,Other Material Damage
3143,Total,Serious acc. invol. mat.damage in the nearer sense,6167,2018,2018-11-01,Material Damage
3144,Total,Serious acc. invol. mat.damage in the nearer sense,4920,2020,2020-09-01,Material Damage
3145,Total,Other accidents involving intoxication,1322,2013,2013-07-01,Intoxication
3146,Outside built-up areas (excl. motorways/freeways),Other accidents involving intoxication,135,2011,2011-04-01,Intoxication
3147,On motorways/freeways,Other accidents involving intoxication,74,2024,2024-10-01,Intoxication
3148,Outside built-up areas (excl. motorways/freeways),Total,42502,2016,2016-12-01,Total
3149,Total,Other accidents involving material damage,179954,2011,2011-12-01,Other Material Damage
3150,Inside built-up areas,Other accidents involving material damage,135410,2024,2024-07-01,Other Material Damage
3151,Outside built-up areas (excl. motorways/freeways),Serious acc. invol. mat.damage in the nearer sense,1645,2014,2014-11-01,Material Damage
3152,Total,Other accidents involving intoxication,1123,2015,2015-01-01,Intoxication
3153,Outside built-up areas (excl. motorways/freeways),Other accidents involving intoxication,169,2024,2024-06-01,Intoxication
3154,Outside built-up areas (excl. motorways/freeways),Personal injury accidents,5676,2014,2014-12-01,Personal Injury
3155,Total,Other accidents involving intoxication,1201,2014,2014-04-01,Intoxication
3156,Inside built-up areas,Personal injury accidents,11619,2017,2017-02-01,Personal Injury
3157,Outside built-up areas (excl. motorways/freeways),Personal injury accidents,5717,2024,2024-04-01,Personal Injury
3158,On motorways/freeways,Serious acc. invol. mat.damage in the nearer sense,1059,2018,2018-01-01,Material Damage
3159,Total,Personal injury accidents,23084,2015,2015-12-01,Personal Injury
3160,On motorways/freeways,Serious acc. invol. mat.damage in the nearer sense,839,2018,2018-09-01,Material Damage
3161,On motorways/freeways,Personal injury accidents,1109,2021,2021-03-01,Personal Injury
3162,Total,Other accidents involving intoxication,1510,2011,2011-10-01,Intoxication
3163,Total,Serious acc. invol. mat.damage in the nearer sense,5616,2019,2019-09-01,Material Damage
3164,Outside built-up areas (excl. motorways/freeways),Personal injury accidents,4895,2014,2014-01-01,Personal Injury
3165,On motorways/freeways,Total,12614,2019,2019-02-01,Total
3166,On motorways/freeways,Serious acc. invol. mat.damage in the nearer sense,1058,2018,2018-12-01,Material Damage
3167,On motorways/freeways,Total,13252,2013,2013-09-01,Total
3168,Total,Other accidents involving material damage,156592,2020,2020-06-01,Other Material Damage
3169,Total,Total,207090,2023,2023-07-01,Total
3170,On motorways/freeways,Personal injury accidents,1362,2011,2011-11-01,Personal Injury
3171,Outside built-up areas (excl. motorways/freeways),Personal injury accidents,6478,2021,2021-08-01,Personal Injury
3172,Outside built-up areas (excl. motorways/freeways),Personal injury accidents,7236,2011,2011-05-01,Personal Injury
3173,Outside built-up areas (excl. motorways/freeways),Personal injury accidents,6677,2014,2014-09-01,Personal Injury
3174,Inside built-up areas,Total,162457,2016,2016-04-01,Total
3175,Outside built-up areas (excl. motorways/freeways),Serious acc. invol. mat.damage in the nearer sense,1209,2020,2020-07-01,Material Damage
3176,Inside built-up areas,Other accidents involving intoxication,809,2015,2015-02-01,Intoxication
3177,Total,Other accidents involving intoxication,1109,2024,2024-02-01,Intoxication
3178,On motorways/freeways,Other accidents involving intoxication,64,2023,2023-12-01,Intoxication
3179,Total,Other accidents involving material damage,177424,2017,2017-04-01,Other Material Damage
3180,Total,Other accidents involving intoxication,1352,2023,2023-05-01,Intoxication
3181,Outside built-up areas (excl. motorways/freeways),Personal injury accidents,7096,2017,2017-05-01,Personal Injury
3182,Outside built-up areas (excl. motorways/freeways),Other accidents involving intoxication,159,2017,2017-09-01,Intoxication
3183,On motorways/freeways,Other accidents involving intoxication,61,2016,2016-01-01,Intoxication
3184,Inside built-up areas,Total,169508,2018,2018-05-01,Total
3185,On motorways/freeways,Personal injury accidents,1725,2011,2011-08-01,Personal Injury
3186,Total,Serious acc. invol. mat.damage in the nearer sense,4832,2020,2020-08-01,Material Damage
3187,Inside built-up areas,Other accidents involving material damage,136747,2021,2021-09-01,Other Material Damage
3188,On motorways/freeways,Personal injury accidents,1826,2024,2024-07-01,Personal Injury
3189,Total,Other accidents involving intoxication,1032,2020,2020-11-01,Intoxication
3190,On motorways/freeways,Total,14763,2023,2023-08-01,Total
3191,On motorways/freeways,Serious acc. invol. mat.damage in the nearer sense,880,2012,2012-09-01,Material Damage
3192,Outside built-up areas (excl. motorways/freeways),Serious acc. invol. mat.damage in the nearer sense,1276,2018,2018-06-01,Material Damage
3193,On motorways/freeways,Total,14169,2021,2021-07-01,Total
3194,Total,Personal injury accidents,23889,2013,2013-11-01,Personal Injury
3195,Outside built-up areas (excl. motorways/freeways),Total,47855,2016,2016-11-01,Total
3196,Total,Total,227046,2015,2015-10-01,Total
3197,Total,Other accidents involving material damage,180479,2015,2015-09-01,Other Material Damage
3198,On motorways/freeways,Other accidents involving intoxication,56,2016,2016-02-01,Intoxication
3199,Outside built-up areas (excl. motorways/freeways),Other accidents involving intoxication,200,2023,2023-11-01,Intoxication
3200,Outside built-up areas (excl. motorways/freeways),Other accidents involving intoxication,169,2017,2017-08-01,Intoxication
3201,Inside built-up areas,Total,134795,2024,2024-02-01,Total
3202,Inside built-up areas,Total,159074,2014,2014-10-01,Total
3203,On motorways/freeways,Personal injury accidents,1674,2024,2024-10-01,Personal Injury
3204,On motorways/freeways,Personal injury accidents,1562,2014,2014-04-01,Personal Injury
3205,Total,Other accidents involving intoxication,1307,2021,2021-08-01,Intoxication
3206,Total,Other accidents involving intoxication,1224,2014,2014-09-01,Intoxication
3207,On motorways/freeways,Serious acc. invol. mat.damage in the nearer sense,1357,2012,2012-01-01,Material Damage
3208,On motorways/freeways,Serious acc. invol. mat.damage in the nearer sense,716,2015,2015-05-01,Material Damage
3209,On motorways/freeways,Serious acc. invol. mat.damage in the nearer sense,921,2020,2020-02-01,Material Damage
3210,Total,Personal injury accidents,30998,2017,2017-06-01,Personal Injury
3211,Inside built-up areas,Other accidents involving intoxication,1053,2023,2023-10-01,Intoxication
3212,Outside built-up areas (excl. motorways/freeways),Serious acc. invol. mat.damage in the nearer sense,1502,2015,2015-02-01,Material Damage
3213,On motorways/freeways,Serious acc. invol. mat.damage in the nearer sense,821,2022,2022-04-01,Material Damage
3214,Total,Total,189441,2013,2013-01-01,Total
3215,Inside built-up areas,Other accidents involving intoxication,1106,2022,2022-12-01,Intoxication
3216,On motorways/freeways,Personal injury accidents,1856,2017,2017-08-01,Personal Injury
3217,Total,Serious acc. invol. mat.damage in the nearer sense,6241,2023,2023-12-01,Material Damage
